Name,Price,Review_count,Star
Took Took 98,$,50,4
Sichuan Gourmet,$$,174,4
Ting’s Kitchen,$$,45,4
Sesame Garden,$$,91,4.5
Night Market Gourmet,$$,137,4.5
Sichuan Gourmet,$$,291,3.5
Chinatown Inn,$$,80,4
Hunan Bar,$$,161,4
How Lee Chinese Food,$$,272,3.5
Jade Grille,$$,92,4
Chengdu Gourmet,$,51,3.5
China House,$,168,4
Yeung’s House,$$,239,4.5
Szechuan Spice,$$,734,4
Everyday Noodles,$,66,4
Northeastern Kitchen,$$,140,4
Wai Wai Chinese Cuisine,$,91,3.5
Sichuan Palace,$,37,4
China Lin,$,25,3.5
Dragon Palace,$,20,4
Szechuan Express,$,24,3
Amazing Wok,$$,21,4
Red Dragon,$,2,3.5
Red Tea House,$$,26,5
Wang’s Kitchen,$$,52,4
Sesame Inn Chinese Restaurant,$$,54,3.5
China Taste,$,59,4
Jimmy Wans,$,107,3.5
Tai Pei,$$,96,3.5
Red Tea House,$$,89,4
Sesame Inn,$$,162,3.5
Took Took 98,$,50,4
Tai Pei,$$,143,3.5
Sesame Inn,$$,63,3.5
Hunan’s Palace,$$,37,4
Chan An Restaurant,$$,33,4
Mandarin Gourmet,$,104,4
Malaxiangguo,$,86,3.5
Empire Palace Asian Restaurant and Bar,$,13,3
New Dumpling And Sushi House,$$,62,3.5
Ya Fei,$,134,4
Little Asia,$$,162,3.5
Golden Palace Buffet,$,55,4
Zen Asian Diner,$$,14,4
Mekong Restaurant,$,93,3
The Tong Garden,$$,19,4
Castle Place Chinese Restaurant,$,20,3
China Cafe,$,18,4
No. 1 Kitchen,$$,70,3
Hong Kong Taste,$$,31,3.5
Orient Express,$$,24,3.5
China Wok,$$,10,2.5
Green Garden,$$,91,3
Asian Cafe,$$,116,4
Rice Inn,$$,155,3.5
Lulu’s Noodles,$,47,4
Osaka Sushi & Chinese Restaurant,$,73,4
